,VESSEL_UID,LATITUDE,LONGITUDE,TIME
261,6617829,-26.74808,311.40685,2013-01-14 10:00:00
262,6617829,-26.76048,311.33933,2013-01-14 11:00:00
263,6617829,-26.76225,311.3384,2013-01-14 13:00:00
264,6617829,-26.74703,311.45905,2013-01-14 15:00:00
265,6617829,-26.74802,311.40357,2013-01-14 16:00:00
266,6617829,-26.75463,311.36827,2013-01-14 18:00:00
267,6617829,-26.74122,311.4562,2013-01-14 19:00:00
268,6617829,-26.7411,311.45617,2013-01-14 20:00:00
269,6617829,-26.76277,311.33765,2013-01-14 22:00:00
270,6617829,-26.74423,311.42697,2013-01-14 23:00:00
271,6617829,-26.74868,311.45572,2013-01-15 00:00:00
272,6617829,-26.75702,311.3566,2013-01-15 01:00:00
273,6617829,-26.76287,311.33752,2013-01-15 02:00:00
274,6617829,-26.7434,311.45355,2013-01-15 04:00:00
275,6617829,-26.74227,311.46068,2013-01-15 05:00:00
276,6617829,-26.75575,311.36465,2013-01-15 07:00:00
277,6617829,-26.74343,311.45635,2013-01-15 08:00:00
278,6617829,-26.74468,311.44002,2013-01-15 10:00:00
279,6617829,-26.76328,311.33867,2013-01-15 11:00:00
280,6617829,-26.7505,311.38873,2013-01-15 12:00:00
281,6617829,-26.74322,311.45832,2013-01-15 13:00:00
282,6617829,-26.75032,311.39333,2013-01-15 14:00:00
283,6617829,-26.76268,311.33815,2013-01-15 16:00:00
284,6617829,-26.74078,311.4533,2013-01-15 17:00:00
285,6617829,-26.74545,311.4626,2013-01-15 18:00:00
286,6617829,-26.76277,311.3377,2013-01-15 20:00:00
287,6617829,-26.74277,311.4499,2013-01-15 21:00:00
288,6617829,-26.74725,311.45105,2013-01-15 22:00:00
289,6617829,-26.76282,311.33762,2013-01-15 23:00:00
290,6617829,-26.75073,311.39203,2013-01-16 01:00:00
291,6617829,-26.74558,311.4547,2013-01-16 02:00:00
292,6617829,-26.74643,311.41973,2013-01-16 03:00:00
293,6617829,-26.76227,311.34032,2013-01-16 05:00:00
294,6617829,-26.74408,311.45367,2013-01-16 06:00:00
295,6617829,-26.74347,311.46013,2013-01-16 07:00:00
296,6617829,-26.75443,311.37102,2013-01-16 08:00:00
297,6617829,-26.75643,311.36195,2013-01-16 09:00:00
298,6617829,-26.7434,311.45572,2013-01-16 10:00:00
299,6617829,-26.74747,311.42913,2013-01-16 12:00:00
300,6617829,-26.75627,311.3629,2013-01-16 14:00:00
301,6617829,-26.73968,311.45798,2013-01-16 15:00:00
302,6617829,-26.7389,311.45577,2013-01-16 16:00:00
303,6617829,-26.75627,311.36237,2013-01-16 18:00:00
304,6617829,-26.74703,311.45438,2013-01-16 19:00:00
305,6617829,-26.74742,311.44615,2013-01-16 20:00:00
306,6617829,-26.76283,311.33838,2013-01-16 21:00:00
307,6617829,-26.75572,311.36488,2013-01-16 23:00:00
308,6617829,-26.74288,311.45355,2013-01-17 00:00:00
309,6617829,-26.76005,311.3456,2013-01-17 01:00:00
310,6617829,-26.7629,311.33893,2013-01-17 02:00:00
311,6617829,-26.7446,311.45868,2013-01-17 04:00:00
312,6617829,-26.74295,311.44037,2013-01-17 05:00:00
313,6617829,-26.76285,311.33845,2013-01-17 07:00:00
314,6617829,-26.74112,311.44905,2013-01-17 08:00:00
315,6617829,-26.74077,311.46533,2013-01-17 09:00:00
316,6617829,-26.75402,311.3711,2013-01-17 10:00:00
317,6617829,-26.75573,311.3661,2013-01-17 13:00:00
318,6617829,-26.74137,311.45287,2013-01-17 14:00:00
319,6617829,-26.74657,311.419,2013-01-17 15:00:00
320,6617829,-26.75607,311.36193,2013-01-17 17:00:00
321,6617829,-26.7438,311.45787,2013-01-17 18:00:00
322,6617829,-26.74733,311.42675,2013-01-17 19:00:00
323,6617829,-26.76275,311.33895,2013-01-17 21:00:00
324,6617829,-26.74373,311.45078,2013-01-17 22:00:00
325,6617829,-26.74683,311.46172,2013-01-17 23:00:00
326,6617829,-26.76298,311.33905,2013-01-18 01:00:00
327,6617829,-26.75565,311.3626,2013-01-18 02:00:00
328,6617829,-26.7408,311.46008,2013-01-18 03:00:00
329,6617829,-26.74143,311.4575,2013-01-18 04:00:00
330,6617829,-26.7631,311.33863,2013-01-18 05:00:00
331,6617829,-26.75555,311.36645,2013-01-18 07:00:00
332,6617829,-26.84938,311.42743,2013-01-18 08:00:00
333,6617829,-26.91307,311.37343,2013-01-18 09:00:00
334,6617829,-26.8817,311.32393,2013-01-18 10:00:00
335,6617829,-26.88173,311.32392,2013-01-18 11:00:00
336,6617829,-26.8817,311.3239,2013-01-18 12:00:00
337,6617829,-26.88172,311.32393,2013-01-18 13:00:00
338,6617829,-26.88175,311.32392,2013-01-18 14:00:00
339,6617829,-26.8817,311.3239,2013-01-18 15:00:00
340,6617829,-26.88168,311.3239,2013-01-18 17:00:00
341,6617829,-26.8817,311.32393,2013-01-18 18:00:00
342,6617829,-26.88168,311.32393,2013-01-18 19:00:00
343,6617829,-26.88175,311.32395,2013-01-18 20:00:00
344,6617829,-26.88173,311.32393,2013-01-18 21:00:00
345,6617829,-26.89492,311.41513,2013-01-18 22:00:00
346,6617829,-26.7543,311.4479,2013-01-18 23:00:00
347,6617829,-26.74717,311.4626,2013-01-19 00:00:00
348,6617829,-26.7552,311.36918,2013-01-19 01:00:00
349,6617829,-26.76308,311.33862,2013-01-19 02:00:00
350,6617829,-26.74245,311.4483,2013-01-19 03:00:00
351,6617829,-26.74122,311.45715,2013-01-19 05:00:00
352,6617829,-26.76217,311.34053,2013-01-19 06:00:00
353,6617829,-26.75608,311.36135,2013-01-19 07:00:00
354,6617829,-26.74215,311.4574,2013-01-19 08:00:00
355,6617829,-26.74723,311.4487,2013-01-19 09:00:00
356,6617829,-26.76292,311.3385,2013-01-19 11:00:00
357,6617829,-26.74445,311.42428,2013-01-19 12:00:00
358,6617829,-26.74398,311.45843,2013-01-19 13:00:00
359,6617829,-26.75162,311.38568,2013-01-19 14:00:00
360,6617829,-26.75622,311.36133,2013-01-19 16:00:00
361,6617829,-26.74125,311.45455,2013-01-19 17:00:00
362,6617829,-26.7418,311.45582,2013-01-19 18:00:00
363,6617829,-26.76265,311.3383,2013-01-19 19:00:00
364,6617829,-26.75565,311.36557,2013-01-19 20:00:00
365,6617829,-26.74433,311.45052,2013-01-19 21:00:00
366,6617829,-26.74612,311.4474,2013-01-19 22:00:00
367,6617829,-26.76277,311.33773,2013-01-20 00:00:00
368,6617829,-26.7445,311.42052,2013-01-20 01:00:00
369,6617829,-26.74903,311.45712,2013-01-20 02:00:00
370,6617829,-26.75245,311.37727,2013-01-20 03:00:00
371,6617829,-26.76243,311.33945,2013-01-20 05:00:00
372,6617829,-26.74192,311.45408,2013-01-20 06:00:00
373,6617829,-26.75397,311.45612,2013-01-20 07:00:00
374,6617829,-26.75607,311.36243,2013-01-20 09:00:00
